耗材类别	总序号	产品序号	耗材分类代码	"一级分类
（学科、品类）"	"二级分类
（用途、品目）"	"三级分类
（部位、功能、品种）"	"通用名
代码"	"医保
通用名"	"材质
代码"	材质	"特征
代码"	特征参数
	19	19	C03110108001007	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	007	锁定加压/不含紧急释放钉/灭菌
	20	20	C03110108001008	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	008	锁定加压/不含紧急释放钉/非灭菌
	21	21	C03110108001009	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	009	万向锁定加压/含紧急释放钉/灭菌
	22	22	C03110108001010	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	010	万向锁定加压/含紧急释放钉/非灭菌
	23	23	C03110108001011	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	011	万向锁定加压/不含紧急释放钉/灭菌
	24	24	C03110108001012	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	012	万向锁定加压/不含紧急释放钉/非灭菌
	25	25	C03110108002001	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	001	普通/含紧急释放钉/灭菌
	26	26	C03110108002002	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	002	普通/含紧急释放钉/非灭菌
	27	27	C03110108002003	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	003	普通/不含紧急释放钉/灭菌
	28	28	C03110108002004	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	004	普通/不含紧急释放钉/非灭菌
	29	29	C03110108002005	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	005	锁定加压/含紧急释放钉/灭菌
	30	30	C03110108002006	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	006	锁定加压/含紧急释放钉/非灭菌
	31	31	C03110108002007	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	007	锁定加压/不含紧急释放钉/灭菌
	32	32	C03110108002008	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	008	锁定加压/不含紧急释放钉/非灭菌
	33	33	C03110108002009	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	009	万向锁定加压/含紧急释放钉/灭菌
	34	34	C03110108002010	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	010	万向锁定加压/含紧急释放钉/非灭菌
	35	35	C03110108002011	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	011	万向锁定加压/不含紧急释放钉/灭菌
	36	36	C03110108002012	骨科材料	接骨板	胸骨接骨板	080	固定板	02	纯钛	012	万向锁定加压/不含紧急释放钉/非灭菌
	37	37	C03110108003001	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	001	普通/含紧急释放钉/灭菌
	38	38	C03110108003002	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	002	普通/含紧急释放钉/非灭菌
	39	39	C03110108003003	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	003	普通/不含紧急释放钉/灭菌
	40	40	C03110108003004	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	004	普通/不含紧急释放钉/非灭菌
	41	41	C03110108003005	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	005	锁定加压/含紧急释放钉/灭菌
	42	42	C03110108003006	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	006	锁定加压/含紧急释放钉/非灭菌
	43	43	C03110108003007	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	007	锁定加压/不含紧急释放钉/灭菌
	44	44	C03110108003008	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	008	锁定加压/不含紧急释放钉/非灭菌
	45	45	C03110108003009	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	009	万向锁定加压/含紧急释放钉/灭菌
	46	46	C03110108003010	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	010	万向锁定加压/含紧急释放钉/非灭菌
	47	47	C03110108003011	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	011	万向锁定加压/不含紧急释放钉/灭菌
	48	48	C03110108003012	骨科材料	接骨板	胸骨接骨板	080	固定板	03	钛合金	012	万向锁定加压/不含紧急释放钉/非灭菌
	49	49	C03110208001001	骨科材料	接骨板	肋骨接骨板	080	固定板	01	不锈钢	001	普通/灭菌
	50	50	C03110208001002	骨科材料	接骨板	肋骨接骨板	080	固定板	01	不锈钢	002	普通/非灭菌
	51	51	C03110208001003	骨科材料	接骨板	肋骨接骨板	080	固定板	01	不锈钢	003	锁定加压/灭菌
	52	52	C03110208001004	骨科材料	接骨板	肋骨接骨板	080	固定板	01	不锈钢	004	锁定加压/非灭菌
	53	53	C03110208001005	骨科材料	接骨板	肋骨接骨板	080	固定板	01	不锈钢	005	万向锁定加压/灭菌
	54	54	C03110208001006	骨科材料	接骨板	肋骨接骨板	080	固定板	01	不锈钢	006	万向锁定加压/非灭菌
	55	55	C03110208002001	骨科材料	接骨板	肋骨接骨板	080	固定板	02	纯钛	001	普通/灭菌
	56	56	C03110208002002	骨科材料	接骨板	肋骨接骨板	080	固定板	02	纯钛	002	普通/非灭菌
	57	57	C03110208002003	骨科材料	接骨板	肋骨接骨板	080	固定板	02	纯钛	003	锁定加压/灭菌
	58	58	C03110208002004	骨科材料	接骨板	肋骨接骨板	080	固定板	02	纯钛	004	锁定加压/非灭菌
	59	59	C03110208002005	骨科材料	接骨板	肋骨接骨板	080	固定板	02	纯钛	005	万向锁定加压/灭菌
	60	60	C03110208002006	骨科材料	接骨板	肋骨接骨板	080	固定板	02	纯钛	006	万向锁定加压/非灭菌
	61	61	C03110208003001	骨科材料	接骨板	肋骨接骨板	080	固定板	03	钛合金	001	普通/灭菌
	62	62	C03110208003002	骨科材料	接骨板	肋骨接骨板	080	固定板	03	钛合金	002	普通/非灭菌
	63	63	C03110208003003	骨科材料	接骨板	肋骨接骨板	080	固定板	03	钛合金	003	锁定加压/灭菌
	64	64	C03110208003004	骨科材料	接骨板	肋骨接骨板	080	固定板	03	钛合金	004	锁定加压/非灭菌
	65	65	C03110208003005	骨科材料	接骨板	肋骨接骨板	080	固定板	03	钛合金	005	万向锁定加压/灭菌
	66	66	C03110208003006	骨科材料	接骨板	肋骨接骨板	080	固定板	03	钛合金	006	万向锁定加压/非灭菌
	67	67	C03110308001001	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	001	普通/外侧前方/灭菌
	68	68	C03110308001002	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	002	普通/外侧前方/非灭菌
	69	69	C03110308001003	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	003	普通/外侧上方/灭菌
	70	70	C03110308001004	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	004	普通/外侧上方/非灭菌
	71	71	C03110308001005	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	005	普通/中段前方/灭菌
	72	72	C03110308001006	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	006	普通/中段前方/非灭菌
	73	73	C03110308001007	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	007	普通/中段上方/灭菌
	74	74	C03110308001008	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	008	普通/中段上方/非灭菌
	75	75	C03110308001009	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	009	普通/内侧前方/灭菌
	76	76	C03110308001010	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	010	普通/内侧前方/非灭菌
	77	77	C03110308001011	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	011	普通/内侧上方/灭菌
	78	78	C03110308001012	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	012	普通/内侧上方/非灭菌
	79	79	C03110308001013	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	013	普通/内侧下方/灭菌
	80	80	C03110308001014	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	014	普通/内侧下方/非灭菌
	81	81	C03110308001015	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	015	普通/外侧下方/灭菌
	82	82	C03110308001016	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	016	普通/外侧下方/非灭菌
	83	83	C03110308001017	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	017	锁定加压/外侧前方/灭菌
	84	84	C03110308001018	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	018	锁定加压/外侧前方/非灭菌
	85	85	C03110308001019	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	019	锁定加压/外侧上方/灭菌
	86	86	C03110308001020	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	020	锁定加压/外侧上方/非灭菌
	87	87	C03110308001021	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	021	锁定加压/中段前方/灭菌
	88	88	C03110308001022	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	022	锁定加压/中段前方/非灭菌
	89	89	C03110308001023	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	023	锁定加压/中段上方/灭菌
	90	90	C03110308001024	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	024	锁定加压/中段上方/非灭菌
	91	91	C03110308001025	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	025	锁定加压/内侧前方/灭菌
	92	92	C03110308001026	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	026	锁定加压/内侧前方/非灭菌
	93	93	C03110308001027	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	027	锁定加压/内侧上方/灭菌
	94	94	C03110308001028	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	028	锁定加压/内侧上方/非灭菌
	95	95	C03110308001029	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	029	锁定加压/内侧下方/灭菌
	96	96	C03110308001030	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	030	锁定加压/内侧下方/非灭菌
	97	97	C03110308001031	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	031	锁定加压/外侧下方/灭菌
	98	98	C03110308001032	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	032	锁定加压/外侧下方/非灭菌
	99	99	C03110308001033	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	033	万向锁定加压/外侧前方/灭菌
	100	100	C03110308001034	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	034	万向锁定加压/外侧前方/非灭菌
	101	101	C03110308001035	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	035	万向锁定加压/外侧上方/灭菌
	102	102	C03110308001036	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	036	万向锁定加压/外侧上方/非灭菌
	103	103	C03110308001037	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	037	万向锁定加压/中段前方/灭菌
	104	104	C03110308001038	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	038	万向锁定加压/中段前方/非灭菌
	105	105	C03110308001039	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	039	万向锁定加压/中段上方/灭菌
	106	106	C03110308001040	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	040	万向锁定加压/中段上方/非灭菌
	107	107	C03110308001041	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	041	万向锁定加压/内侧前方/灭菌
	108	108	C03110308001042	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	042	万向锁定加压/内侧前方/非灭菌
	109	109	C03110308001043	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	043	万向锁定加压/内侧上方/灭菌
	110	110	C03110308001044	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	044	万向锁定加压/内侧上方/非灭菌
	111	111	C03110308001045	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	045	万向锁定加压/内侧下方/灭菌
	112	112	C03110308001046	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	046	万向锁定加压/内侧下方/非灭菌
	113	113	C03110308001047	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	047	万向锁定加压/外侧下方/灭菌
	114	114	C03110308001048	骨科材料	接骨板	锁骨接骨板	080	固定板	01	不锈钢	048	万向锁定加压/外侧下方/非灭菌
	115	115	C03110308002001	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	001	普通/外侧前方/灭菌
	116	116	C03110308002002	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	002	普通/外侧前方/非灭菌
	117	117	C03110308002003	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	003	普通/外侧上方/灭菌
	118	118	C03110308002004	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	004	普通/外侧上方/非灭菌
	119	119	C03110308002005	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	005	普通/中段前方/灭菌
	120	120	C03110308002006	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	006	普通/中段前方/非灭菌
	121	121	C03110308002007	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	007	普通/中段上方/灭菌
	122	122	C03110308002008	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	008	普通/中段上方/非灭菌
	123	123	C03110308002009	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	009	普通/内侧前方/灭菌
	124	124	C03110308002010	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	010	普通/内侧前方/非灭菌
	125	125	C03110308002011	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	011	普通/内侧上方/灭菌
	126	126	C03110308002012	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	012	普通/内侧上方/非灭菌
	127	127	C03110308002013	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	013	普通/内侧下方/灭菌
	128	128	C03110308002014	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	014	普通/内侧下方/非灭菌
	129	129	C03110308002015	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	015	普通/外侧下方/灭菌
	130	130	C03110308002016	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	016	普通/外侧下方/非灭菌
	131	131	C03110308002017	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	017	锁定加压/外侧前方/灭菌
	132	132	C03110308002018	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	018	锁定加压/外侧前方/非灭菌
	133	133	C03110308002019	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	019	锁定加压/外侧上方/灭菌
	134	134	C03110308002020	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	020	锁定加压/外侧上方/非灭菌
	135	135	C03110308002021	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	021	锁定加压/中段前方/灭菌
	136	136	C03110308002022	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	022	锁定加压/中段前方/非灭菌
	137	137	C03110308002023	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	023	锁定加压/中段上方/灭菌
	138	138	C03110308002024	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	024	锁定加压/中段上方/非灭菌
	139	139	C03110308002025	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	025	锁定加压/内侧前方/灭菌
	140	140	C03110308002026	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	026	锁定加压/内侧前方/非灭菌
	141	141	C03110308002027	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	027	锁定加压/内侧上方/灭菌
	142	142	C03110308002028	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	028	锁定加压/内侧上方/非灭菌
	143	143	C03110308002029	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	029	锁定加压/内侧下方/灭菌
	144	144	C03110308002030	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	030	锁定加压/内侧下方/非灭菌
	145	145	C03110308002031	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	031	锁定加压/外侧下方/灭菌
	146	146	C03110308002032	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	032	锁定加压/外侧下方/非灭菌
	147	147	C03110308002033	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	033	万向锁定加压/外侧前方/灭菌
	148	148	C03110308002034	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	034	万向锁定加压/外侧前方/非灭菌
	149	149	C03110308002035	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	035	万向锁定加压/外侧上方/灭菌
	150	150	C03110308002036	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	036	万向锁定加压/外侧上方/非灭菌
	151	151	C03110308002037	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	037	万向锁定加压/中段前方/灭菌
	152	152	C03110308002038	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	038	万向锁定加压/中段前方/非灭菌
	153	153	C03110308002039	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	039	万向锁定加压/中段上方/灭菌
	154	154	C03110308002040	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	040	万向锁定加压/中段上方/非灭菌
	155	155	C03110308002041	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	041	万向锁定加压/内侧前方/灭菌
	156	156	C03110308002042	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	042	万向锁定加压/内侧前方/非灭菌
	157	157	C03110308002043	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	043	万向锁定加压/内侧上方/灭菌
	158	158	C03110308002044	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	044	万向锁定加压/内侧上方/非灭菌
	159	159	C03110308002045	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	045	万向锁定加压/内侧下方/灭菌
	160	160	C03110308002046	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	046	万向锁定加压/内侧下方/非灭菌
	161	161	C03110308002047	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	047	万向锁定加压/外侧下方/灭菌
	162	162	C03110308002048	骨科材料	接骨板	锁骨接骨板	080	固定板	02	纯钛	048	万向锁定加压/外侧下方/非灭菌
	163	163	C03110308003001	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	001	普通/外侧前方/灭菌
	164	164	C03110308003002	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	002	普通/外侧前方/非灭菌
	165	165	C03110308003003	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	003	普通/外侧上方/灭菌
	166	166	C03110308003004	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	004	普通/外侧上方/非灭菌
	167	167	C03110308003005	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	005	普通/中段前方/灭菌
	168	168	C03110308003006	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	006	普通/中段前方/非灭菌
	169	169	C03110308003007	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	007	普通/中段上方/灭菌
	170	170	C03110308003008	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	008	普通/中段上方/非灭菌
	171	171	C03110308003009	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	009	普通/内侧前方/灭菌
	172	172	C03110308003010	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	010	普通/内侧前方/非灭菌
	173	173	C03110308003011	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	011	普通/内侧上方/灭菌
	174	174	C03110308003012	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	012	普通/内侧上方/非灭菌
	175	175	C03110308003013	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	013	普通/内侧下方/灭菌
	176	176	C03110308003014	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	014	普通/内侧下方/非灭菌
	177	177	C03110308003015	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	015	普通/外侧下方/灭菌
	178	178	C03110308003016	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	016	普通/外侧下方/非灭菌
	179	179	C03110308003017	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	017	锁定加压/外侧前方/灭菌
	180	180	C03110308003018	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	018	锁定加压/外侧前方/非灭菌
	181	181	C03110308003019	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	019	锁定加压/外侧上方/灭菌
	182	182	C03110308003020	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	020	锁定加压/外侧上方/非灭菌
	183	183	C03110308003021	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	021	锁定加压/中段前方/灭菌
	184	184	C03110308003022	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	022	锁定加压/中段前方/非灭菌
	185	185	C03110308003023	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	023	锁定加压/中段上方/灭菌
	186	186	C03110308003024	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	024	锁定加压/中段上方/非灭菌
	187	187	C03110308003025	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	025	锁定加压/内侧前方/灭菌
	188	188	C03110308003026	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	026	锁定加压/内侧前方/非灭菌
	189	189	C03110308003027	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	027	锁定加压/内侧上方/灭菌
	190	190	C03110308003028	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	028	锁定加压/内侧上方/非灭菌
	191	191	C03110308003029	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	029	锁定加压/内侧下方/灭菌
	192	192	C03110308003030	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	030	锁定加压/内侧下方/非灭菌
	193	193	C03110308003031	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	031	锁定加压/外侧下方/灭菌
	194	194	C03110308003032	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	032	锁定加压/外侧下方/非灭菌
	195	195	C03110308003033	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	033	万向锁定加压/外侧前方/灭菌
	196	196	C03110308003034	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	034	万向锁定加压/外侧前方/非灭菌
	197	197	C03110308003035	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	035	万向锁定加压/外侧上方/灭菌
	198	198	C03110308003036	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	036	万向锁定加压/外侧上方/非灭菌
	199	199	C03110308003037	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	037	万向锁定加压/中段前方/灭菌
	200	200	C03110308003038	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	038	万向锁定加压/中段前方/非灭菌
	201	201	C03110308003039	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	039	万向锁定加压/中段上方/灭菌
	202	202	C03110308003040	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	040	万向锁定加压/中段上方/非灭菌
	203	203	C03110308003041	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	041	万向锁定加压/内侧前方/灭菌
	204	204	C03110308003042	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	042	万向锁定加压/内侧前方/非灭菌
	205	205	C03110308003043	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	043	万向锁定加压/内侧上方/灭菌
	206	206	C03110308003044	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	044	万向锁定加压/内侧上方/非灭菌
	207	207	C03110308003045	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	045	万向锁定加压/内侧下方/灭菌
	208	208	C03110308003046	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	046	万向锁定加压/内侧下方/非灭菌
	209	209	C03110308003047	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	047	万向锁定加压/外侧下方/灭菌
	210	210	C03110308003048	骨科材料	接骨板	锁骨接骨板	080	固定板	03	钛合金	048	万向锁定加压/外侧下方/非灭菌
	211	211	C03110408001001	骨科材料	接骨板	肱骨接骨板	080	固定板	01	不锈钢	001	普通/近端/灭菌
	212	212	C03110408001002	骨科材料	接骨板	肱骨接骨板	080	固定板	01	不锈钢	002	普通/近端/非灭菌
	213	213	C03110408001003	骨科材料	接骨板	肱骨接骨板	080	固定板	01	不锈钢	003	普通/干部/灭菌
	214	214	C03110408001004	骨科材料	接骨板	肱骨接骨板	080	固定板	01	不锈钢	004	普通/干部/非灭菌
	215	215	C03110408001005	骨科材料	接骨板	肱骨接骨板	080	固定板	01	不锈钢	005	普通/远端/灭菌
